text,intent
I need to talk to a human.,live_agent
Get me a real person!,live_agent
Can I speak to someone?,live_agent
I want to chat with an agent.,live_agent
Connect me with a live rep now.,live_agent
"Screw this, I need human help.",live_agent
Get me out of this bot loop.,live_agent
"Enough with the robot, give me a person.",live_agent
I demand to speak with a human being.,live_agent
Is there a real person I can talk to?,live_agent
Let me talk to a damn agent.,live_agent
"I'm done with the bot, give me a human.",live_agent
"This is ridiculous, I want a human.",live_agent
"Put me through to a live agent, please.",live_agent
"I'm frustrated, get me a live rep.",live_agent
Can I get a human on the line?,live_agent
"Enough with the automation, I need a person.",live_agent
I need assistance from a real person.,live_agent
"Forget the bot, give me a human agent.",live_agent
"Human help, please!",live_agent
"I can't deal with this, I want a live agent.",live_agent
"I'm sick of this bot, give me a human.",live_agent
Human assistance required!,live_agent
"I refuse to talk to a bot, give me a human.",live_agent
Is there a person I can chat with?,live_agent
Give me a live person now!,live_agent
"Stop with the machine, I need a human.",live_agent
"I need a human touch, get me an agent.",live_agent
"No more bots, connect me to a person.",live_agent
I need to escalate to a human agent.,live_agent
"Connect me with a real human, please.",live_agent
Human interaction needed ASAP!,live_agent
"This bot isn't cutting it, I need a person.",live_agent
Can you transfer me to a live agent?,live_agent
"Put me through to a real person, now!",live_agent
Get me a human representative.,live_agent
"I'm not getting anywhere with this bot, human help!",live_agent
"I'm stuck, can I talk to a person?",live_agent
"I want to speak to a living, breathing human.",live_agent
"A bot can't solve my issue, I need a human.",live_agent
"Give me a human, please.",live_agent
Is there a person I can speak with?,live_agent
I require assistance from a human being.,live_agent
"I'm at my wit's end, I need a human agent.",live_agent
"This is futile, I want a human to assist me.",live_agent
Connect me to a human operator.,live_agent
"Screw the AI, get me a human.",live_agent
I need to escalate to human support.,live_agent
"I need human intervention, now!",live_agent
"I'm tired of the chatbot, give me a human.",live_agent
"Give me a human representative, damn it!",live_agent
"Enough with the automation, I want a human.",live_agent
"I'm done with this chatbot, get me a human.",live_agent
I want to talk to a flesh-and-blood person.,live_agent
"Enough with the AI, give me a human agent.",live_agent
"Can I speak to a real person, please?",live_agent
"I need a human touch, not a bot.",live_agent
"Connect me with a living human, now!",live_agent
"I need a person, not a machine.",live_agent
