text,intent
good morning,greeting
hey,greeting
hey whats,greeting
whats,greeting
morning,greeting
morning ready day,greeting
hello hows go,greeting
hows go,greeting
hello,greeting
hi,greeting
hi today,greeting
today,greeting
good day,greeting
good day hows everything,greeting
hows everything,greeting
greeting hows morning far,greeting
hey hows life treat,greeting
whats cooking,greeting
good morning plan today,greeting
greeting,greeting
hey hows weather outside,greeting
morning hows day shape,greeting
hi whats new world,greeting
greeting excite news,greeting
hey whats cooking,greeting
hello weekend,greeting
morning anything excite happen,greeting
greeting even,greeting
hey see news,greeting
hey whats plan today,greeting
morning hows week,greeting
hello fun weekend plan,greeting
hey hows day unfold,greeting
morning get sunshine,greeting
greeting interest conversation,greeting
good morning hows mood today,greeting
yo hows go,greeting
whats crackin,greeting
howdy partner,greeting
sup dude,greeting
hey buddy,greeting
whats word,greeting
hows life,greeting
yo yo yo,greeting
whats scoop,greeting
hows trick,greeting
hey fam,greeting
whats good,greeting
wassup homie,greeting
hows hang,greeting
hey mate,greeting
long time no see,greeting
hows vibe,greeting
yo bruh,greeting
whats 411,greeting
hows world treat,greeting
hows day treat,greeting
hey chica,greeting
hows day,greeting
whats hap,greeting
homeslice,greeting
whats cookin,greeting
hows life treat ya,greeting
whats poppin,greeting
hows game,greeting
hows day shape,greeting
whats sitch,greeting
hows day far,greeting
hey dude whats deal,greeting
hows day unfold,greeting
whats happen,greeting
hows hustle,greeting
hows grind,greeting
hows day roll,greeting
whats new buttercup,greeting
hows day cruise,greeting
hows day rockin,greeting
whats dilly,greeting
hows day vibin,greeting
whats shake,greeting
hows day movin,greeting
hows day groovin,greeting
hows day fly,greeting
whats go,greeting
hey doin,greeting
whats story morning glory,greeting
hows everything hangin,greeting
whats vibe tribe,greeting
hows trick trade,greeting
whats buzz cuz,greeting
hows world girl,greeting
whats cooking goodlooking,greeting
hows life fast lane,greeting
whats dealio,greeting
hows vibe side,greeting
hows groove move,greeting
hows holler scholar,greeting
hows mood hood,greeting
whats score metaphor,greeting
hows hang gang,greeting
whats new pew,greeting
hows jam fam,greeting
hows pace space,greeting
whats crack,greeting
hi nice meet,greeting
greeting may assist,greeting
howdy pleased make acquaintance,greeting
yo whats good,greeting
good day pleasure see,greeting
hiya whats scoop,greeting
salutation hows day go,greeting
sup hows life treat,greeting
hi hows everything go,greeting
good morning delightful see,greeting
hey hows day shape,greeting
hello whats word,greeting
gday hows hang,greeting
hi hows day far,greeting
good morning hope youre well,greeting
hey long time no see,greeting
hi whats new,greeting
hello feel today,greeting
greeting hows week,greeting
howdy whats news,greeting
hey nice see,greeting
hi hows health,greeting
good morning hows family,greeting
hello plan weekend,greeting
hi hope youre great day,greeting
hey whats mind,greeting
hi hows workschool,greeting
good morning today,greeting
hello hows weather,greeting
greeting excite plan today,greeting
hi hows day go far,greeting
hey excite news share,greeting
hiya hows life treat lately,greeting
good morning hows day go,greeting
hi nice see,greeting
good morning hows go,greeting
greeting hows day,greeting
howdy whats new,greeting
hey good see,greeting
hi thing,greeting
hello lately,greeting
good day hows life treat,greeting
hey hows everything go,greeting
hello whats,greeting
greeting feel,greeting
hello hows week go,greeting
hi hows day go,greeting
hello nice see,greeting
greeting whats new,greeting
good day lovely meet,greeting
good morning ready day,greeting
hello excite plan today,greeting
good day hows work go,greeting
hello news share,greeting
hey whats happen,greeting
hey hows go,greeting
hello hows day treat,greeting
hey whats late,greeting
hello great meet,greeting
howdy,greeting
yo,greeting
well hello,greeting
hiya,greeting
salutation,greeting
hola,greeting
hi friend,greeting
hows world,greeting
whats news,greeting
whats new,greeting
whats good word,greeting
whats story,greeting
hows buzz,greeting
hows mood,greeting
thing,greeting
hey good look,greeting
whats deal,greeting
hey stranger,greeting
hows week,greeting
hows weekend,greeting
hows night,greeting
hows morning,greeting
whats plan,greeting
hows afternoon,greeting
hows even,greeting
hows day go,greeting
hows day pan,greeting
hows day look,greeting
hows day go far,greeting
hows day unfold far,greeting
hows day shape far,greeting
hows day treat far,greeting
hows day pan far,greeting
hows day roll far,greeting
hows day cruise far,greeting
hows day rockin far,greeting
hows day groovin far,greeting
hows day fly far,greeting
hows day look far,greeting
hows day go thus far,greeting
hows day unfold thus far,greeting
hows day shape thus far,greeting
hows day treat thus far,greeting
hows day pan thus far,greeting
hows day roll thus far,greeting
hows day cruise thus far,greeting
hows day rockin thus far,greeting
hows day groovin thus far,greeting
hows day fly thus far,greeting
hows day look thus far,greeting
aloha,greeting
bonjour,greeting
ciao,greeting
namaste,greeting
konnichiwa,greeting
shalom,greeting
salaam,greeting
kia os,greeting
privet,greeting
hei,greeting
merhaba,greeting
sawubona,greeting
dia duit,greeting
moin moin,greeting
szia,greeting
jambo,greeting
