text,intent
need talk human,live_agent
get real person,live_agent
can speak someone,live_agent
want chat agent,live_agent
connect live rep,live_agent
screw need human help,live_agent
get bot loop,live_agent
enough robot give person,live_agent
demand speak human,live_agent
real person can talk,live_agent
let talk damn agent,live_agent
im do bot give human,live_agent
ridiculous want human,live_agent
put live agent please,live_agent
im frustrate get live rep,live_agent
can get human line,live_agent
enough automation need person,live_agent
need assistance real person,live_agent
forget bot give human agent,live_agent
human help please,live_agent
cant deal want live agent,live_agent
im sick bot give human,live_agent
human assistance require,live_agent
refuse talk bot give human,live_agent
person can chat,live_agent
give live person,live_agent
stop machine need human,live_agent
need human touch get agent,live_agent
no bot connect person,live_agent
need escalate human agent,live_agent
connect real human please,live_agent
human interaction need asap,live_agent
bot isnt cut need person,live_agent
can transfer live agent,live_agent
put real person,live_agent
get human representative,live_agent
im not get anywhere bot human help,live_agent
im stuck can talk person,live_agent
want speak living breathing human,live_agent
bot cant solve issue need human,live_agent
give human please,live_agent
person can speak,live_agent
require assistance human,live_agent
im wit end need human agent,live_agent
futile want human assist,live_agent
connect human operator,live_agent
screw ai get human,live_agent
need escalate human support,live_agent
need human intervention,live_agent
im tire chatbot give human,live_agent
give human representative damn,live_agent
enough automation want human,live_agent
im do chatbot get human,live_agent
want talk fleshandblood person,live_agent
enough ai give human agent,live_agent
can speak real person please,live_agent
need human touch not bot,live_agent
connect living human,live_agent
need person not machine,live_agent
refuse deal bot human,live_agent
ridiculous want talk person,live_agent
bot useless get human,live_agent
need escalate real person,live_agent
get human representative asap,live_agent
can get human assistance please,live_agent
im go circle connect human,live_agent
want escalate human agent,live_agent
human can speak,live_agent
need help human not bot,live_agent
give human make quick,live_agent
enough automation need human,live_agent
get person,live_agent
can connect human,live_agent
im not get anywhere need human,live_agent
demand human assistance immediately,live_agent
give human im fed bot,live_agent
want talk real person,live_agent
screw bot need human,live_agent
need human solve problem,live_agent
ridiculous need talk person,live_agent
give human rep pronto,live_agent
can transfer human please,live_agent
get human operator,live_agent
enough chatbot get human agent,live_agent
im not get anywhere need live person,live_agent
frustrate need talk someone,live_agent
enough virtual help want human,live_agent
get human assistant immediately,live_agent
can speak real human,live_agent
want escalate human representative,live_agent
need human guidance not ai,live_agent
enough ai need human connection,live_agent
want talk human not machine,live_agent
get human dont time,live_agent
person can speak please,live_agent
can transfer human agent,live_agent
give human fast,live_agent
connect human representative immediately,live_agent
need talk living person not robot,live_agent
get human line,live_agent
enough automate response human help,live_agent
give human im lose patience,live_agent
need human touch solve,live_agent
can speak human representative,live_agent
beyond frustrate get human,live_agent
want speak human not bot,live_agent
connect human asap,live_agent
need real person not algorithm,live_agent
need human intervention immediately,live_agent
give human im leave,live_agent
enough chatbot need human,live_agent
need human assistance not automate reply,live_agent
get human agent,live_agent
connect human urgent,live_agent
im do bot get human,live_agent
give human im not kid,live_agent
want speak someone isnt bot,live_agent
need human help not machine,live_agent
enough automation get human,live_agent
get nowhere get human agent,live_agent
want speak person not program,live_agent
get human assistant,live_agent
connect human representative please,live_agent
enough virtual assistant need human,live_agent
can speak human please,live_agent
give human talk,live_agent
need talk human urgently,live_agent
want escalate human,live_agent
get person im tire bot,live_agent
need human touch understand,live_agent
enough automate message get human,live_agent
need human help not machine response,live_agent
connect human operator quickly,live_agent
not help need human,live_agent
can put touch human,live_agent
get human representative immediately,live_agent
enough chatbot need human response,live_agent
im not get anywhere need human agent,live_agent
can speak real person,live_agent
get human assistant soon possible,live_agent
want speak someone can understand,live_agent
enough ai give human connection,live_agent
connect human cant deal anymore,live_agent
give human assist,live_agent
can speak live human,live_agent
get real person urgent,live_agent
enough automate help need human touch,live_agent
get human agent right away,live_agent
connect human need help,live_agent
want talk human representative,live_agent
enough robot need human intervention,live_agent
get human fast,live_agent
enough virtual assistant get human,live_agent
need talk real person not chatbot,live_agent
get human im not satisfied bot,live_agent
want speak human,live_agent
enough automate response get human,live_agent
need human touch not automate system,live_agent
connect human operator urgently,live_agent
get person im do bot,live_agent
enough chatbot give human assistant,live_agent
need human help not machine assistance,live_agent
connect human representative asap,live_agent
isnt work need human help,live_agent
get human im tire automate system,live_agent
connect human immediately,live_agent
enough ai need speak human,live_agent
get human agent im frustrate,live_agent
need talk human not machine,live_agent
enough automation give human response,live_agent
connect human need assistance,live_agent
want speak real person not bot,live_agent
enough bot get human line,live_agent
need human assistance urgent,live_agent
get human need help right,live_agent
connect human cant anymore,live_agent
enough chatbot need human assist,live_agent
need human touch resolve issue,live_agent
get human representative urgently,live_agent
connect real person,live_agent
enough automate reply give human,live_agent
need speak human important,live_agent
get human agent ridiculous,live_agent
enough virtual assistant need human help,live_agent
get human cant deal anymore,live_agent
connect person need help,live_agent
enough bot need human,live_agent
need human intervention not automate message,live_agent
connect human representative urgently,live_agent
need talk goddamn human,live_agent
get real fuck person,live_agent
can speak someone fuck sake,live_agent
want chat fuck agent,live_agent
connect live motherfucking rep right,live_agent
screw shit need human help,live_agent
get fuck bot loop,live_agent
enough fuck robot give damn person,live_agent
demand speak human stupid bot,live_agent
real person can fuck talk,live_agent
let talk damn agent right fuck,live_agent
im do bot bullshit give fuck human,live_agent
fuck ridiculous want human,live_agent
put live agent piece shit,live_agent
im frustrate hell get live rep,live_agent
can get fuck human line,live_agent
enough fuck automation need person,live_agent
need assistance real person not shitty bot,live_agent
human help fuck sake,live_agent
cant deal crap want live agent,live_agent
im sick bot crap give human,live_agent
human assistance require dumb bot,live_agent
refuse talk fuck bot give goddamn human,live_agent
person can fuck chat,live_agent
give live fuck person,live_agent
stop goddamn machine need human,live_agent
no fuck bot connect person,live_agent
need escalate human agent useless bot,live_agent
connect real fuck human please,live_agent
human interaction need right fuck,live_agent
bot isnt cut need damn person,live_agent
can transfer live fuck agent,live_agent
put real fuck person,live_agent
get human fuck representative,live_agent
im not get anywhere fuck bot human help,live_agent
im stuck shit can talk person,live_agent
want speak living breathing human not shitty bot,live_agent
bot cant solve damn issue need human,live_agent
give fuck human please,live_agent
person can speak dumb bot,live_agent
require fuck assistance human,live_agent
im wit end need human agent dumb bot,live_agent
futile want human assist stupid bot,live_agent
connect human operator piece crap,live_agent
screw ai get goddamn human,live_agent
need escalate human support shitty bot,live_agent
need human intervention right fuck,live_agent
im tire chatbot give human piece crap,live_agent
give fuck human representative damn,live_agent
enough automation want goddamn human,live_agent
im do chatbot shit get human piece crap,live_agent
want talk fleshandblood person shitty bot,live_agent
can speak real fuck person please,live_agent
need human touch not shitty bot,live_agent
connect living human piece shit bot,live_agent
need person not fuck machine,live_agent
refuse deal fuck bot human,live_agent
fuck ridiculous want talk person,live_agent
bot useless fuck get human,live_agent
need escalate real fuck person,live_agent
get human representative asap dumb bot,live_agent
can get human assistance please shitty bot,live_agent
im go circle connect human stupid bot,live_agent
want escalate human agent crappy bot,live_agent
human can speak dumb bot,live_agent
need help human not fuck bot,live_agent
can speak live agent please,live_agent
need assistance human,live_agent
connect real person please,live_agent
can chat representative,live_agent
require help live representative,live_agent
put human agent,live_agent
get live support person,live_agent
human available,live_agent
need talk someone person,live_agent
id like speak human,live_agent
please connect human,live_agent
need escalate live person,live_agent
want chat real person,live_agent
can get live operator,live_agent
connect representative please,live_agent
need human assistance,live_agent
want speak representative,live_agent
require help live person,live_agent
please transfer live agent,live_agent
connect customer service agent,live_agent
human can talk,live_agent
can get assistance person,live_agent
need speak live representative,live_agent
please connect live agent,live_agent
get real person not bot,live_agent
connect someone can help,live_agent
need escalate human,live_agent
please connect live operator,live_agent
id like speak representative please,live_agent
get human not machine,live_agent
need assistance human agent,live_agent
please transfer live representative,live_agent
get human support agent,live_agent
connect customer service representative,live_agent
require assistance person,live_agent
put touch live agent,live_agent
can chat live representative,live_agent
get human need help,live_agent
connect live support specialist,live_agent
want speak someone realtime,live_agent
can speak representative please,live_agent
get person not chatbot,live_agent
connect human customer service agent,live_agent
need talk someone immediately,live_agent
can chat real person please,live_agent
please connect live customer service agent,live_agent
require assistance live support team member,live_agent
connect human please,live_agent
need human help not automate response,live_agent
please transfer human agent,live_agent
can get help human representative,live_agent
connect live customer support agent,live_agent
want speak person not machine,live_agent
please connect live customer service representative,live_agent
get human need assistance,live_agent
connect human operator please,live_agent
please transfer human support agent,live_agent
get human line please,live_agent
need assistance human representative,live_agent
connect live chat agent,live_agent
can chat human please,live_agent
get real person need help,live_agent
connect live service agent,live_agent
want speak someone directly,live_agent
please connect human representative,live_agent
get person talk please,live_agent
connect human support specialist,live_agent
can speak real human please,live_agent
get human not bot,live_agent
connect live representative please,live_agent
need help human,live_agent
please transfer human support representative,live_agent
can speak live support representative,live_agent
connect live agent,live_agent
need talk person not machine,live_agent
can chat real representative,live_agent
connect human service agent,live_agent
get live customer service representative,live_agent
require assistance human support agent,live_agent
can transfer live chat agent,live_agent
get person assist please,live_agent
can speak human support agent,live_agent
get human representative please,live_agent
connect live customer support specialist,live_agent
need assistance live agent,live_agent
can speak someone person please,live_agent
need talk human representative,live_agent
can speak live customer service agent,live_agent
get live agent need help,live_agent
connect human support representative,live_agent
can chat human representative please,live_agent
connect live support agent please,live_agent
can speak person please,live_agent
get human not robot,live_agent
can chat live person,live_agent
get real person not automate response,live_agent
connect human customer support representative,live_agent
can speak live customer support representative please,live_agent
get live service representative please,live_agent
connect human service agent please,live_agent
can chat human support specialist,live_agent
get person not machine,live_agent
connect live customer service specialist,live_agent
can speak human service representative,live_agent
get live support specialist please,live_agent
connect human customer service specialist,live_agent
can chat human service agent please,live_agent
connect human service representative please,live_agent
can speak human support specialist please,live_agent
get live customer support agent,live_agent
connect human service specialist please,live_agent
can chat human service representative please,live_agent
get live customer service representative please,live_agent
can speak human customer support specialist please,live_agent
get live customer service specialist please,live_agent
can chat human customer support agent please,live_agent
get live customer service agent please,live_agent
can speak human customer support agent please,live_agent
get live service agent please,live_agent
can chat human customer support specialist please,live_agent
connect human customer support representative please,live_agent
can speak human service agent please,live_agent
get live support representative please,live_agent
connect human customer service specialist please,live_agent
can chat human service specialist please,live_agent
get live support agent please,live_agent
connect human customer service agent please,live_agent
can speak human service specialist please,live_agent
get live customer support specialist please,live_agent
can chat human support representative please,live_agent
get live customer support representative please,live_agent
can speak human customer support representative please,live_agent
connect human support agent please,live_agent
can chat human customer service specialist please,live_agent
connect human support specialist please,live_agent
can speak human customer service agent please,live_agent
connect human customer support specialist please,live_agent
connect human customer support agent please,live_agent
can speak human customer service specialist please,live_agent
can chat human customer service agent please,live_agent
get live customer support agent please,live_agent
connect human customer service representative please,live_agent
can chat human support specialist please,live_agent
can speak human service representative please,live_agent
get live service specialist please,live_agent
connect human support representative please,live_agent
can chat human support agent please,live_agent
connect human support,live_agent
help contact agent,live_agent
speak goddamn live agent,live_agent
need help talk agent,live_agent
want assistancew talk somebody,live_agent
uare not helpful can uhelp speak live agent,live_agent
can talk agent,live_agent
help talk someone,live_agent
cant talk assistant,live_agent
contact agent,live_agent
dont know talk agent,live_agent
want help speak human agent,live_agent
need talk somebody,live_agent
need speak someone,live_agent
possible talk live agent,live_agent
want assistance talk person,live_agent
help contact someone,live_agent
im try speak wiht assistant,live_agent
assistance talk agent,live_agent
not know need talk agent,live_agent
speak fuck human agent,live_agent
get talk agent,live_agent
want help talk agent,live_agent
could help talk agent,live_agent
want assistance speak hunan agent,live_agent
dont know can chat wit person,live_agent
need help contact agent,live_agent
want assistance talk human agent,live_agent
not know contact agent,live_agent
can help contact agent,live_agent
can transfer agent,live_agent
dont know can talk agent,live_agent
can help talk agent,live_agent
help talk agent,live_agent
dont know talk fuck live agent,live_agent
cant chat operator,live_agent
need assistance talk human agent,live_agent
speak agent,live_agent
can contact someone,live_agent
want assistance contact agent,live_agent
dont know can contact person,live_agent
not helpful help talk live agent,live_agent
cant speak tto agent,live_agent
can help contact someone,live_agent
help chat someone,live_agent
need help talk somebody,live_agent
dont know contact agent,live_agent
help speak person,live_agent
could help contact agent,live_agent
need chat live agent,live_agent
want assistance speak someone,live_agent
need assistance chat witth person,live_agent
dont know could talk agent,live_agent
can not understand ya get tocontact goddamn person,live_agent
dont know need chat live agent,live_agent
assistance tospeak operator,live_agent
can speak human agent,live_agent
not know could talk agent,live_agent
talk operator,live_agent
needhelp talk live agent,live_agent
need assistance speak operator,live_agent
get speak person,live_agent
not know need chat live agent,live_agent
talk agent,live_agent
could ya help speak live agent,live_agent
need assistance talk agent,live_agent
can not understand ya help chtting assistant,live_agent
want assistance speak operator,live_agent
dont know talk somebody,live_agent
possible chat someone,live_agent
can contact agent,live_agent
dont know speak somebody,live_agent
need assistance talk operator,live_agent
would like contact agent,live_agent
need agent,live_agent
would possible talk agent,live_agent
need help chat person,live_agent
dont know need speak assistant,live_agent
not know talk agent,live_agent
talk human agent,live_agent
dont know contact person,live_agent
need talk agent,live_agent
need speak human agent,live_agent
get talk human agent,live_agent
speak person,live_agent
not know can talk agent,live_agent
dont know can chat person,live_agent
help speak agent,live_agent
can help speak someone,live_agent
assistance talk somebody,live_agent
not know talk someone,live_agent
not understand anything usay can uirect somebody,live_agent
not know need contact agent,live_agent
tring contact agent,live_agent
transfer agent,live_agent
can ehlp chat live agent,live_agent
try talk agent,live_agent
would possible contact agent,live_agent
talk hyman agent,live_agent
uare not helpful can uhelp speak agent,live_agent
want help contact human agent,live_agent
can uhelp contact someone,live_agent
want chat somebody,live_agent
can chat human agent,live_agent
help speak someone,live_agent
want help talk somebody,live_agent
uare not helpful need help speak someody,live_agent
need assistance contact agent,live_agent
help chattinb operator,live_agent
try speak agent,live_agent
assistance contact person,live_agent
need help talk human agent,live_agent
want assistance speak human agent,live_agent
talk assistant,live_agent
can not contact agent,live_agent
need talk live agent,live_agent
need assistance chat somebody,live_agent
not know can contact agent,live_agent
speak assistant,live_agent
want help speak live agent,live_agent
dont know speak person,live_agent
wan na speak operator,live_agent
help speak live agent,live_agent
want help speak person,live_agent
help speak human agent,live_agent
want assistance talk agent,live_agent
dont know need talk operator,live_agent
not know talk somebody,live_agent
help talk live agent,live_agent
can help speak agent,live_agent
can uhelp speak live agent,live_agent
dontknow talk agent,live_agent
not know speak somebody,live_agent
uare not helpful wanmt help speak person,live_agent
try contact agent,live_agent
want assistance speak bloody live agent,live_agent
need contact damn person,live_agent
need contact agent,live_agent
wan na chat person,live_agent
not understand ya help speak human agent,live_agent
want help contact agent,live_agent
dont know can talk live agent,live_agent
can speak person,live_agent
try talk someone,live_agent
cant contact human agent,live_agent
need help talk assistant,live_agent
try ocntact agent,live_agent
assistance contact agent,live_agent
could contact agent,live_agent
speak someone,live_agent
want talk agent,live_agent
cant talk somebody,live_agent
not understand word ya say speak agent,live_agent
talk aent,live_agent
need help chat live agent,live_agent
dont know need speak operator,live_agent
want contact agent,live_agent
wan na speak assistant,live_agent
can not talk agent,live_agent
talk someone,live_agent
could ya transfer someone,live_agent
want assistance totalk human agent,live_agent
assistance speak fuck agent,live_agent
help contact operator,live_agent
not know could contact agent,live_agent
dont know need contact agent,live_agent
could transfer agent,live_agent
not understand speak human agent,live_agent
not helpful chat someone,live_agent
uare not helpful ca uhelp chat agent,live_agent
assistance talk assistant,live_agent
contact somebody,live_agent
could help speak agent,live_agent
dont know can contact agent,live_agent
ay not helpful can speak live agent,live_agent
need help chat someone,live_agent
need assistance speak somebody,live_agent
help talk assistant,live_agent
want agent,live_agent
help talk somebody,live_agent
try contact live agent,live_agent
talk somebody,live_agent
try talk human agent,live_agent
speak live agent,live_agent
possible contact agent,live_agent
dont know could contact agent,live_agent
not know talk live agent,live_agent
dont know speak human agent,live_agent
need assistance chat human agent,live_agent
need assistance talk huma agent,live_agent
want help chat live agent,live_agent
can help talk live agent,live_agent
cant contact agent,live_agent
get speak damn operator,live_agent
can ehlp speak person,live_agent
uarenot helpful want help speak someone,live_agent
could talk agent,live_agent
help contact person,live_agent
cant talk agent,live_agent
would like talk agent,live_agent
want help chat someone,live_agent
can speak assistant,live_agent
need help chat agent,live_agent
talk live agent,live_agent
uare not helpful help speak assistant,live_agent
can talk assistant,live_agent
want assistance chat person,live_agent
chat operator,live_agent
want assistance talk somebody,live_agent
uare not helpful contact someone,live_agent
not helpful want assistance contactig assistant,live_agent
want assistance chat human agent,live_agent
need speak operator,live_agent
dont know need talk agent,live_agent
need assistance speak live agent,live_agent
need assistance contact goddamn live agent,live_agent
wan chat someone,live_agent
need contact someone,live_agent
contact live agent,live_agent
assistance speak agent,live_agent
dot know talk human agent,live_agent
need assistance chat live agent,live_agent
get contact agent,live_agent
need help speak live agent,live_agent
want help speak operator,live_agent
possible talk agent,live_agent
