text,intent
Good morning,greeting
Hey,greeting
Hey there,greeting
"Hey there, what's up?",greeting
what's up?,greeting
Morning!,greeting
Morning! Ready for the day?,greeting
"Hello, how's it going?",greeting
how's it going?,greeting
Hello,greeting
Hi,greeting
"Hi, how are you today?",greeting
how are you today?,greeting
Good day!,greeting
Good day! How's everything?,greeting
How's everything?,greeting
"Greetings, how's your morning so far?",greeting
"Hey, how's life treating you?",greeting
what's cooking?,greeting
Hi there,greeting
"Good morning, any plans for today?",greeting
Greetings,greeting
"Hey, how's the weather outside?",greeting
Morning! How's your day shaping up?,greeting
"Hi, what's new in your world?",greeting
"Greetings, any exciting news?",greeting
"Hey, what's cooking?",greeting
"Hello, how was your weekend?",greeting
Good morning!,greeting
"Hey there,",greeting
Morning! Anything exciting happening?,greeting
"Hi,",greeting
"Greetings, how was your evening?",greeting
"Hey, did you see the news?",greeting
"Hey there, what's the plan for today?",greeting
Morning! How's your week been?,greeting
"Hello, any fun weekend plans?",greeting
"Hey there, how's your day unfolding?",greeting
Morning! Did you get some sunshine?,greeting
"Greetings, any interesting conversations?",greeting
Good morning! How's your mood today?,greeting
"Hey, what's up?",greeting
"Yo, how's it going?",greeting
What's crackin'?,greeting
"Howdy, partner!",greeting
"Sup, dude?",greeting
"Hey, buddy!",greeting
What's the word?,greeting
How's life?,greeting
"Yo, yo, yo!",greeting
What's the scoop?,greeting
How's tricks?,greeting
"Hey, fam!",greeting
What's good?,greeting
"Wassup, homie?",greeting
How's it hanging?,greeting
"Hey, mate!",greeting
Long time no see!,greeting
How's the vibe?,greeting
"Yo, bruh!",greeting
What's the 411?,greeting
How's the world treating you?,greeting
How's your day treating you?,greeting
"Hey, chica!",greeting
How's your day been?,greeting
What's the haps?,greeting
"How you been, homeslice?",greeting
What's cookin'?,greeting
How's life treating ya?,greeting
What's poppin'?,greeting
How's the game?,greeting
How's your day shaping up?,greeting
What's the sitch?,greeting
How's your day been so far?,greeting
"Hey, dude, what's the deal?",greeting
How's your day unfolding?,greeting
What's happening?,greeting
How's the hustle?,greeting
How's the grind?,greeting
How's your day rolling?,greeting
"What's new, buttercup?",greeting
How's your day cruising?,greeting
How's your day rockin'?,greeting
What's the dilly?,greeting
How's your day vibin'?,greeting
What's shaking?,greeting
How's your day movin'?,greeting
How's your day groovin'?,greeting
How's your day flying?,greeting
What's going down?,greeting
"Hey, how you doin'?",greeting
"What's the story, morning glory?",greeting
How's everything hangin'?,greeting
"What's the vibe, tribe?",greeting
How's tricks and trades?,greeting
"What's the buzz, cuz?",greeting
"How's your world, girl?",greeting
"What's cooking, good-looking?",greeting
How's life in the fast lane?,greeting
What's the dealio?,greeting
How's the vibe on your side?,greeting
"How's the groove, my move?",greeting
"How's the holler, scholar?",greeting
How's the mood in your hood?,greeting
"What's the score, metaphor?",greeting
How's it hanging in your gang?,greeting
What's new in the pew?,greeting
"How's your jam, fam?",greeting
How's the pace in your space?,greeting
What's cracking?,greeting
"Good morning, how do you do?",greeting
"Hi there, nice to meet you.",greeting
"Hello, how are you doing?",greeting
"Greetings, how may I assist you?",greeting
"Howdy, pleased to make your acquaintance.",greeting
"Yo, what's good?",greeting
"Hi, how have you been?",greeting
"Good day, it's a pleasure to see you.",greeting
"Hiya, what's the scoop?",greeting
"Salutations, how's your day going?",greeting
"Sup, how's life treating you?",greeting
"Hi, how's everything going?",greeting
"Good morning, it's delightful to see you.",greeting
"Hey there, how's your day shaping up?",greeting
"Hello, what's the word?",greeting
"G'day, how's it hanging?",greeting
"Hi, how's your day been so far?",greeting
"Good morning, hope you're doing well.",greeting
"Hey, long time no see!",greeting
"Hi there, what's new with you?",greeting
"Hello, how are you feeling today?",greeting
"Greetings, how's your week been?",greeting
"Howdy, what's the news?",greeting
"Hey, nice to see you again!",greeting
"Hi, how's your health?",greeting
"Good morning, how's your family?",greeting
"Hello, any plans for the weekend?",greeting
"Hi, hope you're having a great day.",greeting
"Hey there, what's on your mind?",greeting
"Hi, how's work/school?",greeting
"Good morning, how are you today?",greeting
"Hello, how's the weather where you are?",greeting
"Greetings, any exciting plans for today?",greeting
"Hi, how's your day going so far?",greeting
"Hey, any exciting news to share?",greeting
"Hiya, how's life been treating you lately?",greeting
"Good morning, how's your day going?",greeting
"Hi there, nice to see you!",greeting
"Good morning, how's it going?",greeting
"Hey, how have you been?",greeting
"Greetings, how's your day?",greeting
"Howdy, what's new?",greeting
"Hey, good to see you!",greeting
"Hi, how are things?",greeting
"Hello, how have you been lately?",greeting
"Good day, how's life treating you?",greeting
"Hey there, how's everything going?",greeting
"Hi, nice to meet you!",greeting
"Hello, what's up?",greeting
"Greetings, how are you feeling?",greeting
