text,intent
user adam,others
adam,others
user bella,others
bella,others
good thanks user adam,others
good thanks adam,others
great thanks user bella,others
great thanks bella,others
name,others
call,others
think,others
talk,others
name call,others
tell name,others
could call,others
can call,others
friend call,others
real name,others
real name please,others
whats real name,others
tell real name,others
time,others
whats time,others
know time,others
can tell time,others
tell time,others
ok thank,others
ok thanks,others
ok,others
thanks,others
thank,others
thats helpful,others
not talk,others
wasnt,others
wasnt meant,others
wasnt communicate,others
wasnt speak,others
understand say,others
understand,others
know say,others
get,others
comprendo,others
know mean,others
quiet,others
shut,others
stop talk,others
enough talk,others
please quiet,others
shhh,others
fuck,others
twat,others
shit,others
bye,others
adios,others
see later,others
goodbye,others
thanks bye,others
thanks help goodbye,others
thank bye,others
thank goodbye,others
thanks goodbye,others
thanks good bye,others
can see,others
see,others
can see anyone camera,others
see anyone camera,others
identify,others
please,others
clever,others
clever girl,others
intelligent,others
intelligent girl,others
genious,others
bore gossip,others
get gossip,others
want hear gossip,others
tell gossip,others
gossip,others
tell joke,others
know joke,others
joke,others
give joke,others
make laugh,others
need cheer,others
open pod bay door,others
can open pod bay door,others
open pod bay door please,others
can open pod bay door please,others
pod bay door,others
not,others
can not open pod bay door,others
not open pod bay door,others
well not,others
surely can,others
tell,others
can prove selfaware,others
can prove self aware,others
can prove conscious,others
can prove selfaware please,others
can prove self aware please,others
can prove conscious please,others
prove conscious,others
problem cancel order,others
can find information cancel order,others
need help cancel last order,others
could help cancel last order make,others
problem cancel order make,others
can help cancel last order,others
not know cancel last order make,others
problem cancel last order make,others
could give information order cancellation,others
need help cancel last order make,others
need help cancel order make,others
not want order,others
could find information cancel order,others
would give information order cancellation,others
cancel order,others
assistance cancel order make,others
can give information cancel order,others
not know can cancel last order make,others
would like cancel order make,others
need help cancel order,others
could get information cancel order,others
question cancel order,others
could cancel order,others
could get information order cancellation,others
cant pay order,others
need assistance cancel order make,others
try find information order cancelations,others
want help cancel order make,others
cancel order make,others
possible cancel order,others
can get information cancel order,others
want cancel order make,others
not know can cancel order make,others
help cancel order make,others
dont know could cancel order make,others
possible cancel order make,others
would give information cancel order,others
cant pay last order make,others
would like cancel last order,others
can cancel order,others
help cancel order,others
could help cancel order make,others
question cancel last order make,others
want know order cancelations,others
could help cancel order,others
cancel last order,others
try cancel order make,others
can cancel order make,others
dont know cancel order make,others
would like cancel order,others
want assistance cancel last order make,others
dont know cancel last order,others
can help cancel order make,others
cancel last order make,others
cant pay last order,others
help cancel last order make,others
need assistance cancel last order make,others
question cancel last order,others
problem cancel last order,others
want assistance cancel order,others
can help cancel order,others
want information cancel order,others
could cancel order make,others
find information cancel order,others
get cancel last order make,others
not know could cancel order make,others
try cancel last order make,others
would like know order cancellation,others
not know could cancel last order,others
would like information cancel order,others
assistance cancel order,others
try find information cancel order,others
can help cancel last order make,others
need assistance cancel order,others
could cancel last order make,others
look information order cancelations,others
can cancel last order make,others
want assistance cancel order make,others
would possible cancel last order make,others
need assistance cancel last order,others
not want pay last order make,others
possible cancel last order make,others
dont know cancel order,others
try cancel last order,others
dont know can cancel last order make,others
give information cancel order,others
assistance cancel last order make,others
need cancel order,others
not want pay order make,others
assistance cancel last order,others
cant pay order make,others
could give information cancel order,others
not know cancel order make,others
help cancel last order,others
want help cancel last order,others
not know could cancel last order make,others
want assistance cancel last order,others
can tell order cancellation,others
not want pay last order,others
can get information order cancellation,others
want cancel last order make,others
give information order cancelations,others
get cancel order,others
could help cancel last order,others
dont want order make,others
would possible cancel order,others
could cancel last order,others
want know order cancellation,others
could tell order cancellation,others
could find information order cancellation,others
can not pay last order,others
tell order cancelations,others
would give information order cancelations,others
would possible cancel order make,others
could get information order cancelations,others
dont want pay last order make,others
order cancellation,others
question cancel order make,others
get cancel order make,others
dont want last order make,others
information cancel order,others
order cancelation,others
not know could cancel order,others
dont know can cancel order make,others
possible cancel last order,others
find information order cancelations,others
dont know can cancel last order,others
can help add something order,others
can help remove item,others
help add item,others
try change last order,others
could add item order,others
problem remove item,others
problem remove several item,others
change order,others
problem remove something,others
get change several item order,others
dont know could add something,others
dont know change item order,others
assistance remove several item order,others
want assistance change order make,others
can change something order,others
need help remove something,others
need help add several item,others
would like add several item order,others
dont know can remove several item order,others
can change order make,others
could help change order,others
need help change order make,others
can help remove something,others
add something,others
assistance change last order make,others
help add several item order,others
want remove item order,others
remove several item,others
forgotten include item,others
could add something order,others
remove item order,others
help remove item order,others
can help change order make,others
question change order,others
could remove several item order,others
add several item order,others
problem add something,others
could help add something order,others
could help change order make,others
possible change order make,others
help change order make,others
help change something order,others
dont know remove item order,others
help change item order,others
need help change order,others
need change last order make,others
need assistance change order,others
miss item order,others
not know add item,others
need assistance change order make,others
can help remove several item order,others
can help remove several item,others
want assistance change last order,others
dont know remove item,others
need help change several item order,others
help remove several item,others
try add something,others
problem change last order,others
question change last order make,others
possible add item order,others
cant remove item,others
need assistance add item,others
would like remove something,others
need help remove item,others
could help remove item,others
remove several item order,others
try remove something order,others
problem add item order,others
assistance add something,others
can add item order,others
can remove several item order,others
want help add several item order,others
not know could add something,others
problem change order,others
need help change something order,others
can remove item order,others
dont know can add item,others
try change last order make,others
can not remove item order,others
assistance remove item,others
assistance change order,others
can get information change order,others
want assistance change item order,others
can help add several item order,others
change several item order,others
could get information order change,others
can help add item,others
get remove something,others
need help add item order,others
problem change order make,others
information change order,others
change last order make,others
want assistance remove something order,others
need assistance change last order,others
not know can add item,others
problem change item order,others
assistance change last order,others
problem change something order,others
problem remove something order,others
change last order,others
could help remove item order,others
want add item order,others
not know can add several item,others
could add something,others
dont know could change item order,others
dont know can add item order,others
can add something,others
order change,others
cant add item order,others
help change last order make,others
can not change several item order,others
could help remove something,others
could change order make,others
would like change last order make,others
not know can change item order,others
add item order,others
want help add item order,others
assistance add several item,others
give information order change,others
help remove something,others
want remove several item,others
want assistance add several item,others
possible change order,others
need assistance remove something order,others
question change order make,others
want change something order,others
want assistance change last order make,others
dont know add something,others
item purchase arent one want,others
help change several item order,others
help add item order,others
need add item order,others
not know add item order,others
could add item,others
need change last order,others
can not change item order,others
not know could add item order,others
miss item,others
would possible change something order,others
need assistance change several item order,others
can help change last order,others
can help remove something order,others
want help change item order,others
could help add item,others
try change order make,others
want help remove item order,others
change item order,others
need help add item,others
can remove several item,others
could help add item order,others
add something order,others
cant change last order,others
forgot include item order,others
get remove several item order,others
can help change order,others
want help change order make,others
add product last order,others
could change order,others
problem remove item order,others
help remove something order,others
try add several item,others
want assistance remove something,others
cant change order,others
get add item,others
not know can remove several item order,others
purchase wrong item,others
problem add item,others
need assistance remove something,others
assistance add item,others
get change order make,others
want assistance change several item order,others
information order change,others
need information order,others
get change item order,others
need assistance remove several item order,others
can not remove several item,others
can help add several item,others
assistance change several item order,others
need assistance remove item order,others
not know could remove item order,others
could find information change order,others
want assistance change order,others
dont know could remove several item order,others
can change last order make,others
can help change last order make,others
forgotten include several item order,others
remove something,others
would possible change order,others
would like add item order,others
want assistance remove several item order,others
can not add item,others
can not change last order,others
could change item order,others
want information change order,others
problem add several item order,others
help change order,others
get add several item,others
would possible remove item,others
want help add item,others
could help remove several item,others
can help remove item order,others
help add several item,others
try add something order,others
would possible change order make,others
want help remove item,others
could help add several item,others
problem change several item order,others
need assistance remove item,others
get change order,others
can help add item order,others
need assistance change item order,others
possible remove item,others
can change several item order,others
want help remove several item order,others
dont know could add item,others
try change several item order,others
can change last order,others
can not remove item,others
would possible change item order,others
possible add item,others
would like change last order,others
dont know can add several item,others
try change item order,others
want help add something,others
can help change item order,others
error correct shipping address,others
need assistance try update delivery address,others
information update shipping address,others
give information edit delivery address,others
tell change shipping address,others
issue try correct address,others
want know change shipping address,others
assistance change shipping address,others
could help change shipping address,others
shipping address change,others
want assistance modify address,others
want assistance change shipping address,others
put old address mistake,others
need asistance try edit shipping address,others
issue try change shipping address,others
issue change shipping address,others
can tell update address,others
can help change shipping address,others
need assistance edit delivery address,others
can change shipping address,others
want help try change shipping address,others
dont know change shipping address,others
can tell change shipping address,others
havesubmitted wrong delivery address correct,others
help change shipping address,others
would like know change shipping address,others
not know change shipping address,others
change shipping address,others
need change shipping address,others
could change shipping address,others
want help change shipping address,others
not know could change shipping address,others
information shipping address change,others
issue update address,others
wan na update address,others
try change shipping address,others
im look information modify address,others
question shipping address change,others
chose wrong delivery address mistake can correct,others
need assistance update delivery address,others
want ot update address,others
want know update delivery addresxs,others
need edit address,others
dont know could change shipping address,others
error change delivery address,others
address canged can correct,others
look information shipping address change,others
can get information shipping address change,others
want information change shipping address,others
trouble try modify address,others
could tell change shipping address,others
want support try change damn address,others
submit wrong delivery address can uupdatte,others
possible change shipping address,others
try edit address,others
need information change shipping address,others
help try change shipping address,others
trouble update address,others
problem shipping address change,others
would like change shipping address,others
need assistance change shipping address,others
give information delivery address change,others
problem try correct shipping address,others
want support try update delivery address,others
chose wrong shipping address,others
chosen wrong shipping address mistake,others
not know can change shipping address,others
problem try correct delivery address,others
can not correct delivery address,others
need help change shipping address,others
tto update delivery address can get help,others
assistance try correct delivery address,others
trouble try change address,others
help correct delivery address,others
dont know hwat need edit shipping address,others
dont know need change shipping address,others
tell shipping address change,others
would like information shipping address change,others
want help update address,others
give information change shipping address,others
find information shipping address change,others
want support modify address,others
could get information shipping address change,others
modify delivery address,others
support try update shipping address,others
need help try change shipping address,others
tell update address,others
can not change shipping address,others
address change can edit,others
not knlw correct address,others
not know editmy shipping address,others
could tell shipping address change,others
look information azn address modification,others
nede support try correct delivery address,others
problem update shipping address,others
give information shipping address change,others
help change delivery address,others
can uhelp modify address,others
help change address,others
problem update delivery address,others
want know shipping address change,others
want change shipping address,others
can not upodate shipping address,others
error edit shipping address,others
information change shipping address,others
can tell shipping address change,others
would like know shipping address change,others
need correct address,others
trouble try modify shipping address,others
submit wrong shipping address,others
want information shipping address change,others
would like information change shipping address,others
need help try modify shipping address,others
dont know can change shipping address,others
find information change shipping address,others
want support change shipping address,others
need help shipping address change,others
can not corrdct shipping address,others
error update damn shipping address,others
issue try edit goddamn delivery address,others
get change delivery address need help,others
can find information edit damn address,others
problem try update delivery address,others
support try correct shipping address,others
correct address,others
error try update shipping address,others
error try update delivery address,others
assistance edit delivery address,others
get change shipping address,others
get edit address,others
would possible change shipping address,others
dont know modify delivery address,others
address change help change,others
not know can edit address,others
can help correct delivery address,others
need assistance shipping address change,others
can not update delivery addrses,others
need modify shipping address,others
try correct shipping address,others
not know correct shipping address,others
need support correct goddamn delivery address,others
issue try correct shipping address,others
can give information shipping address change,others
issue update delivery address,others
need support try edit address,others
cant change shipping address,others
im look information change address,others
dont know edit address,others
need information modify address,others
possible edit delivery address,others
chosen wrong shipping address,others
shipping address change can uchange,others
want assistance try correct shipping address,others
change delivery address,others
want support try edit shipping address,others
can not modify shipping address,others
need support try update shipping address,others
want support updatng address,others
need modify thedelivery address can uhelp,others
help shipping address change,others
assistance shipping address change,others
want assistance change address,others
can find information shipping address change,others
need information shipping address change,others
chose wrong shipping address mistake,others
